CNPJ_Fundo_Classe;Data_Referencia;Versao;Data_Informacao_Numero_Cotistas;Total_Numero_Cotistas;Numero_Cotistas_Pessoa_Fisica;Numero_Cotistas_Pessoa_Juridica_Nao_Financeira;Numero_Cotistas_Banco_Comercial;Numero_Cotistas_Corretora_Distribuidora;Numero_Cotistas_Outras_Pessoas_Juridicas_Financeira;Numero_Cotistas_Investidores_Nao_Residentes;Numero_Cotistas_Entidade_Aberta_Previdencia_Complementar;Numero_Cotistas_Entidade_Fechada_Previdência_Complementar;Numero_Cotistas_Regime_Proprio_Previdencia_Servidores_Publicos;Numero_Cotistas_Sociedade_Seguradora_Resseguradora;Numero_Cotistas_Sociedade_Capitalizacao_Arrendamento_Mercantil;Numero_Cotistas_FII;Numero_Cotistas_Outros_Fundos;Numero_Cotistas_Distribuidores_Fundo;Numero_Cotistas_Outros_Tipos;Valor_Ativo;Patrimonio_Liquido;Cotas_Emitidas;Valor_Patrimonial_Cotas;Percentual_Despesas_Taxa_Administracao;Percentual_Despesas_Agente_Custodiante;Percentual_Rentabilidade_Efetiva_Mes;Percentual_Rentabilidade_Patrimonial_Mes;Percentual_Dividend_Yield_Mes;Percentual_Amortizacao_Cotas_Mes
00.332.266/0001-31;2026-01-01;1;2026-01-30;3639;;;;;;;;;;;;;;;;264139783.45;262606163.61;2800149;93.7829249836348;0.000216;2.5E-05;0.01684;0.012521;0.004319;0
00.613.094/0001-74;2026-01-01;1;2026-01-30;501;483;;;;;1;;14;;1;;;;;2;197038435.85;-25221266.07;758400;-33.2558888053797;0;0;0.00686;0.007754;-0.000894;0
00.762.723/0001-28;2026-01-01;1;2026-01-31;2190;;;;;;;;;;;;;;;;97186175.96;95576330.86;5384912;17.748912305345;0.000547;0;-0.002875;-0.002875;0;0
00.868.235/0001-08;2026-01-01;1;2026-01-31;5;;;;;;;;;;;;;;;;124256363.3;121564012.8;54316;2238.08846012225;0.00052;0;0.006411;-0.000622;0.007033;0
01.201.140/0001-90;2026-01-01;1;2026-01-31;14013;;;;;;;;;;;;;;;;526381288.38;521918936.68;4709082;110.832416313838;0.000198;0;0.006195;0.000328;0.005867;0
01.235.622/0001-61;2026-01-01;2;2026-01-31;124;;;;;;;;;;;;;;;;4802184591.45;3826159313.37;1324930.00003248;2887.81997032009;0.000530935887301239;;0.016846;0.005505;0.011341;
01.356.517/0001-80;2026-01-01;1;2025-12-31;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;467542476.9;172777943.7;56701;3047.17630553253;0.0004;0;0.046488;0.046488;0;0
01.497.954/0001-14;2026-01-01;1;2026-01-31;6;;;;;;;;;;;;;;;;164039240.69;163906847.65;8703994;18.8312224996938;0.000136;0;0.002086;0.000179;0.001907;0
01.601.918/0001-59;2026-01-01;1;2026-01-31;1;;;;;;;;;;;;;;;;58264970.51;58179657.82;500000;116.35931564;0.001094;1E-06;0.008525;0.008525;0;0
01.601.918/0001-59;2026-02-01;1;2026-02-28;1;;;;;;;;;;;;;;;;59114316.38;59029003.69;500000;118.05800738;0.001078;1E-06;0.014599;0.014599;0;0
01.633.741/0001-72;2026-01-01;1;2026-01-30;406;;;;;;;;;;;;;;;;23888553.39;23548189.15;508008;46.3539730673533;0.00091;2.5E-05;0.003194;0.003194;0;0
01.636.325/0001-28;2026-01-01;1;2026-01-30;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;315536941.88;313468794.57;234900;1334.477627;7E-05;0;0.01532;0.007506;0.007814;0
01.657.856/0001-05;2026-01-01;1;2026-01-30;4231;;;;;;;;;;;;;;;;43001356.9;41525145.71;4200000;9.8869394547619;0.00438;0;0.001664;0.001664;0;0
01.964.775/0001-40;2026-01-01;1;2026-01-31;6;;1;;;;;;5;;;;;;;;1546471.69;1541650.05;12583000;0.122518481284272;0.0006;0.0004;0.0101;0.0101;0;0
01.964.775/0001-40;2026-02-01;1;2026-02-28;6;;1;;;;;;5;;;;;;;;1545419.82;1540684.28;12583000;0.122441729317333;0.0006;0.0004;-0.0006;-0.0006;0;0
02.508.235/0001-14;2026-01-01;1;2026-01-31;6;;;;;;;;;;;;;;;;264084270.15;261269029.69;17100;15278.8906251462;0.000265;0;0.004825;-0.009119;0.013944;0
03.251.720/0001-18;2026-01-01;1;2026-01-30;672;659;6;0;0;0;0;0;1;0;0;0;4;2;0;0;278424143.8;268762408.54;750000;358.349878;0.000331;0;0.011073;0.005525;0.005548;0
03.507.519/0001-59;2026-01-01;1;2026-01-31;2063;;;;;;;;;;;;;;;;634598167.29;630214428.54;608950;1034.91982681665;0.00015;0;0.005746;0.000621;0.005125;0
03.683.056/0001-86;2026-01-01;1;2026-01-31;24658;;;;;;;;;;;;;;;;830304966.67;735960800.38;3690695;199.409813159852;0.000415;3E-06;0.005781;0.000413;0.005368;0
03.855.441/0001-63;2026-01-01;1;2026-01-31;2;;;;;;;;;;;;;;;;501883168.3;133963863.16;144210661;0.928945628783991;0.00122;9E-06;0.017324;0.017324;0;0
04.066.582/0001-60;2026-01-01;1;2026-01-30;3003;2996;7;0;0;0;0;0;0;0;0;0;0;0;0;0;56417254.15;55242140.65;200000;276.210703;0.00049;0;0;0;0;0
04.141.645/0001-03;2026-01-01;1;2026-01-31;11230;;;;;;;;;;;;;;;;350352094.15;345467420.77;1380670;250.21722842533;0.00013;0;0.003781;-0.000334;0.004115;0
04.644.612/0001-78;2026-01-01;1;2026-01-30;2;;;;;;;;2;;;;;;;;28198149.78;28167918.61;2044676.01522874;13.7762258666925;0.000631023550092542;0.000357580201059804;-0.001092;-0.001092;0;0
04.722.883/0001-02;2026-01-01;1;2026-01-30;509;488;10;0;0;0;0;0;3;0;0;0;4;4;0;0;675426310.38;646759778.1;3935562;164.337337;0.000141;0;0.00741;0.004806;0.002604;0
05.437.916/0001-27;2026-01-01;1;2026-01-30;1995;1987;8;;;;;;;;;;;;;;156783117.83;152651217.53;383936;397.595478230747;0.000412;0;0.00121;0.00121;0;0
05.562.312/0001-02;2026-01-01;1;2026-01-30;2016;2008;;;;;;;;;;;;8;;;172078868.45;121592275.44;122538;992.282193605249;0;0;0.00037;0.00037;0;0
06.175.262/0001-73;2026-01-01;1;2026-01-30;458;;;;;;;;;;;;;;;;50945870.11;50618020.79;236000;214.483138940678;0.00025;3E-05;0.005431;0.001239;0.004192;0
07.000.400/0001-46;2026-01-01;1;2026-01-30;5522;5390;122;1;0;0;1;0;0;4;0;0;0;4;0;0;17300501.36;4408674.69;130000;33.912882;0.37315;0;-0.672338;-0.473378;-0.19896;0
07.122.725/0001-00;2026-01-01;1;2026-01-30;1875;1813;50;0;0;0;6;0;0;1;0;0;3;2;0;0;233390239.98;229298385.03;111177;2062.462425;0.000472;0;0;0;0;0
07.224.019/0001-60;2026-01-01;1;2026-01-30;2;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1343919392.27;1267810059.79;1189725;1065.632865;0.000127;0;0.048657;-0.015678;0.064335;0
07.583.627/0001-61;2026-01-01;1;2026-01-30;11;10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5088596713.73;5008872889.48;224952;22266.407454;5.5E-05;0;0.072638;0.072638;0;0
07.789.135/0001-27;2026-01-01;1;2026-01-30;250;244;;;;;6;;;;;;;;;;4499486298.56;4189660522.28;34717612.9610135;120.678242682895;2.35969906092055E-05;7.07711277377294E-07;0.074567;0.061894;0.012673;0
08.014.513/0001-63;2026-01-01;1;2026-01-30;5197;5179;10;1;0;0;1;0;0;0;0;0;3;3;0;0;225323412.83;224929403.08;1293286;173.920852;0.000363;0;0;0;0;0
08.098.114/0001-28;2026-01-01;1;2026-01-31;413;;;;;;;;;;;;;;;;788967823.04;779956729.7;8898724;87.6481537914874;0.000711274098773893;;0.006507;-0.00316;0.009667;
08.417.532/0001-30;2026-01-01;1;2026-01-31;2;;;;;;;;;;;;;;;;512719718.19;211485997.32;46971;4502.48019671712;0.000597;5E-06;0.020401;0.020401;0;0
08.431.747/0001-06;2026-01-01;2;2026-01-30;149239;;;;;;;;;;;;;;;;3393107060.36;2668558839.35;129133010;20.6651950523727;0.000484;2.5E-05;0.003646;-0.004065;0.007711;0
08.693.497/0001-82;2026-01-01;1;2026-01-30;112;108;3;0;0;0;1;0;0;0;0;0;0;0;0;0;343381914.67;341077698.35;639906.5347;533.011744484;0.000145;0;0.00685317;0.00122449;0.00562868;0
08.696.175/0001-97;2026-01-01;1;2026-01-31;6000;;;;;;;;;;;;;;;;186751637;185094220.85;927162;199.635253440068;0.000143;0;0.007673;0.000656;0.007017;0
08.706.065/0001-69;2026-01-01;1;2026-01-30;34944;34865;68;0;0;0;2;0;0;0;0;1;3;5;0;0;444518903.77;433196629.78;2888094;149.993951;0.001079;0;0.012245;-0.005783;0.018028;0
08.924.783/0001-01;2026-01-01;2;2026-01-30;117743;117499;164;0;0;0;21;3;3;3;1;1;22;25;0;1;2417338459.7;2289214993.6;26638202;85.937294;0.000169;0;0.008992;0.004298;0.004694;0
08.971.868/0001-40;2026-01-01;1;2026-01-30;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4471428.93;4469131.33;27423.30802067;162.968352564594;0.00020138;0;-0.016285;-0.016285;0;0
08.971.868/0001-40;2026-02-01;1;2026-02-27;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4051189.97;4045688.63;27423.30802067;147.527374412693;0.000224;0;0.016552;0.016552;0;0
09.006.914/0001-34;2026-01-01;1;2026-01-30;7519;;;;;;;;;;;;;;;;121469444.53;120054419.87;1851786;64.831692;9.7E-05;0;0.00738315;-0.0010911;0.00847425;0
09.072.017/0001-29;2026-01-01;1;2026-01-30;142846;;;;;;;;;;;;;;;;1805086577.19;1744664843.62;11817767;147.630668604314;0.000705;7.04681477646476E-06;0.057071;-0.000648;0.057719;0
09.150.967/0001-24;2026-01-01;1;2026-01-30;14;;;;;;;;;;;;;;;;18636236.1;5132611.47;73304.97449994;70.0172328687489;0.004209;0;-0.026907;-0.026907;0;0
09.276.964/0001-31;2026-01-01;1;2026-01-30;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;466378064.8;465894670.08;1206868.34768904;386.036033650326;2.54642106078674E-05;2.82935196441215E-06;-3.7E-05;-3.7E-05;0;0
09.276.964/0001-31;2026-02-01;1;2026-02-27;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;466031164.41;465934965.51;1206868.34768904;386.069422072582;4.47780088304024E-05;4.97532954510633E-06;8.6E-05;8.6E-05;0;0
09.326.861/0001-39;2026-01-01;1;2026-01-30;1523;;;;;;;;;;;;;;;;65296404.81;64675247.66;1186683;54.5008630443008;0.000426;2.5E-05;0.003242;-0.003523;0.006765;0
09.517.273/0001-82;2026-01-01;1;2026-01-30;4434;4410;11;0;0;0;10;0;0;0;0;0;2;0;0;1;165728625.19;161951312.3;1665695.3525;97.22745042;0.000199;0;0.00841633;0.00241283;0.0060035;0
09.552.812/0001-14;2026-01-01;1;2026-01-30;203083;202829;200;0;0;0;13;2;2;1;0;1;17;18;0;0;1063820444.71;1006839692.63;99521172;10.116839;0.000806;0;0;0;0;0
10.347.985/0001-80;2026-01-01;1;2026-01-30;819;;;;;;;;;;;;;;;;232928598.02;231430573.98;3140000;73.7040044522293;0.000584;0;0.003912;0.000654;0.003258;0
10.375.382/0001-91;2026-01-01;1;2026-01-30;1931;;;;;;;;;;;;;;;;161922439.47;159802584.35;7562817;21.1300345294617;0.000511;2.5E-05;0.009429;0.002314;0.007115;0
10.427.246/0001-06;2026-01-01;2;2026-01-30;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;335248817.07;150028701.02;11340540;13.229414;0.00033;0;-0.006511;-0.001563;-0.004948;0
10.456.799/0001-89;2026-01-01;1;2026-01-31;2;;;;;;;;;;;;;;;;1184354926.02;1110013637.46;85070;13048.2383620548;8.2E-05;0;0.00261;0.00261;0;0
10.522.648/0001-81;2026-01-01;1;2026-01-31;101;;;;;;;;;;;;;;;;40210673.18;38438758.67;66406.0074;578.844598177122;0.000881214721078817;;0.014333;0.005004;0.009329;
10.869.155/0001-12;2026-01-01;2;2026-01-30;3109;3082;7;0;0;0;1;2;1;0;0;0;8;8;0;0;749639784.52;495446278.51;19443078;25.481885;0.000265;0;0.106591;0.100432;0.006159;0
10.991.914/0001-15;2026-01-01;1;2026-01-30;2915;2911;1;;;;;;3;;;;;;;;109116467.13;107905417.91;1712950;62.9939098689395;0.000516;9.5E-05;0.007935;0.000317;0.007618;0
11.044.355/0001-07;2026-01-01;1;2026-01-30;111;;;;;;;;;;;;;;;;248121325.92;246656783.11;1613559;152.86505365;0.000119;0;0.004053;-0.001304;0.005357;0
11.160.521/0001-22;2026-01-01;1;2026-01-30;103592;;;;;;;;;;;;;;;;1533540154.03;1517657790.44;15418106;98.4334775257091;0.000666;8E-06;0.009978;0.000324;0.009654;0
11.179.118/0001-45;2026-01-01;1;2026-01-30;4001;3995;5;0;0;0;0;0;0;0;0;0;1;0;0;0;155189455.43;153986723.98;692377;222.403003;0.00038;0;0;0;0;0
11.233.841/0001-65;2026-01-01;1;2026-01-30;1;;;;;;;;;;;;;1;;;409852360.5;409492357.45;1529229.79730436;267.776862687236;8.9E-05;3.2E-05;0.001069;0.001069;0;0
11.260.134/0001-68;2026-01-01;1;2026-01-30;8902;;;;;;;;;;;;;;;;273246188.25;265046845.77;1753057;151.191230958263;0.0280887393259545;8.03175375966294E-06;0.010447;0.010447;0;0
11.268.335/0001-01;2026-01-01;1;2026-01-30;1;;;;;;;;;;;;;;;;152796101.67;152669652.79;220.4949061;692395.373164587;9.1E-05;9.1E-05;0.004816;0.004816;0;0
11.274.415/0001-70;2026-01-01;2;2026-01-30;3836;3819;6;0;0;0;0;2;0;0;0;0;3;6;0;0;105666260.68;104932239.66;1125655;93.218828;0.000702;0;0.008382;0.004765;0.003617;0
11.281.322/0001-72;2026-01-01;1;2026-01-30;790;;;;;;;;;;;;;;;;29852845.33;29576576.23;259201;114.106721154625;0.001282;2.5E-05;-0.01408;-0.01408;0;0
11.326.746/0001-06;2026-01-01;1;2026-01-30;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;397395647.41;395138491.03;17450;22644.03960057;5.8E-05;0;0.00364612;0.00364612;0;0
11.602.654/0001-01;2026-01-01;1;2026-01-30;2935;2920;6;0;0;0;2;0;0;0;0;0;2;4;0;1;436770084.33;425797052.6;3474010;122.566444;0.000276;0;0;0;0;0
11.664.201/0001-00;2026-01-01;1;2026-01-30;106622;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1356651536.13;1321245056.17;15592424;84.7363473549719;0.0007878;5E-05;0.014913;0.004833;0.01008;0
11.728.688/0001-47;2026-01-01;1;2026-01-30;536031;;;;;;;;;;;;;;;;8384622828.19;7056514999;42404675;166.408892392171;0.000472;7.86361398053623E-06;0.005597;-0.001007;0.006604;0
11.769.604/0001-13;2026-01-01;2;2026-01-30;6370;6341;12;;;;3;;;;;;5;9;;;1807693218.31;1211655059.83;96106666;12.6073987399584;0.000838;0;-0.000993;-0.000993;0;0
11.827.568/0001-05;2026-01-01;1;2026-01-30;1;;;;;;;;1;;;;;;;;50850070.09;50759748.3;37122134.4905246;1.36737148864531;0.00124407728790885;3.54611687465755E-05;0.008042;0.008042;0;0
11.839.593/0001-09;2026-01-01;2;2026-01-30;451524;450725;685;1;0;0;35;4;5;0;2;0;29;32;0;6;6357403264.83;5494118561.27;53310352;103.059131;0.000714;0;0.008466;-0.00065;0.009116;0
11.945.604/0001-27;2026-01-01;1;2026-01-30;805;;;;;;;;;;;;;;;;2485778.3;2382864.3;126523;18.8334476735455;0.002413;0.000787;-0.002461;-0.002461;0;0
12.005.956/0001-65;2026-01-01;1;2026-01-30;305827;;;;;;;;;;;;;;;;5053904299.65;4622495428.16;28204047;163.894756953142;0.000903;0;0.009661;0.004269;0.005392;0
12.323.955/0001-69;2026-01-01;1;2026-10-30;1;;;;;;;;;;;;;1;;;194880532.02;189694308.54;5418740.00045904;35.0070880913146;0.000180559239038938;1.28971186264353E-05;0.003617;0.003617;0;0
12.401.858/0001-47;2026-01-01;1;2026-01-30;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;778668338.26;241925243.24;2626000;92.126901;0.000161;0;-0.118813;0.034454;-0.153267;0
12.516.185/0001-70;2026-01-01;1;2026-01-31;134415;;;;;;;;;;;;;;;;1245993079.25;819496800.53;82826295;9.89416224074734;0.000535380381859024;;0.008461;0.003895;0.004566;
12.681.340/0001-04;2026-01-01;1;2026-01-30;8766;;;;;;;;;;;;;;;;169389057.28;167125202.99;1590000;105.110190559748;8.7E-05;0;0.013321;0.003299;0.010022;0
12.804.013/0001-00;2026-01-01;1;2026-01-31;223;;;;;;;;;;;;;;;;190121256.74;188745533.56;1699996;111.027045687166;0.000251;0;0.007456;0.002414;0.005042;0.002791
12.809.972/0001-00;2026-01-01;1;2026-01-30;293;;;;;;;;;;;;;;;;129605579.47;129236210.78;1751141;73.8011449563456;0.000326;2.5E-05;0.001337;-0.000694;0.002031;0
12.811.222/0001-73;2026-01-01;1;2026-01-30;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18758890.42;15339092.71;130657.83129235;117.398953880372;0.00104308646557493;0.000130385808196866;-0.000632;-0.000632;0;0
12.887.506/0001-43;2026-01-01;2;2026-01-30;579;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24439079.45;22249360.54;53597;415.123244584585;0.0009168;0;0.002708;0.001221;0.001487;0
12.969.125/0001-03;2026-01-01;1;2026-01-30;1;;;;;;;;;;;;;;;;228469915.05;192901915;467;413066.199143469;0.000605;1.7E-05;0.016666;0.016666;0;0
12.978.943/0001-72;2026-01-01;1;2026-01-30;483;;;;;;;;;;;;;;;;859074794.62;775528672.25;13991890;55.4270132376684;0.000167;0;0.008289;-0.000368;0.008657;0
12.989.974/0001-29;2026-01-01;2;2026-01-30;1;;;;;;;;;;;;;;;1;7393818934.72;7338303703.65;4735662339.00747;1.54958339052273;0.00016665703;1.083269E-05;0.000127;0.000127;0;0
13.000.836/0001-38;2026-01-01;1;2026-01-30;24;7;0;0;0;1;1;0;0;10;0;0;2;3;0;0;92423657.8;91838987.64;24.07829606;3814181.34452493;0.0002;0;-0.000626;-0.000626;0;0
13.020.465/0001-56;2026-01-01;1;2026-01-30;1;;;;;;;;;;;;;;;;10096651.53;-13115121.36;297.7;-44054.8248572388;0;0;-0.002325;-0.002325;0;0
13.022.994/0001-99;2026-01-01;1;2026-01-31;112;;;;;;;;;;;;;;;;1424044111.81;1418003521.47;787256;1801.19747765657;5.6E-05;0;0.005628;-0.003763;0.009391;0
13.125.823/0001-95;2026-01-01;1;2026-01-31;1;;;;;;;;;;;;;;;;10929369.14;2131095.69;1426.29489;1494.14802292393;0.00605632119691444;;0.564258;0.564258;;
13.320.290/0001-00;2026-01-01;1;2026-01-30;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;308868050.36;308854550.36;155970;1980.217672;4.4E-05;0;0;0;0;0
13.371.132/0001-71;2026-01-01;1;2026-01-30;86464;;;;;;;;;;;;;;;;2299726488.31;2153572277.86;20767328;103.700017540051;0.000535;0;-0.015995;-0.020529;0.004534;0
13.500.306/0001-59;2026-01-01;1;2026-01-31;2686;;;;;;;;;;;;;;;;76738470.87;75299675.11;101664;740.67196952707;0.000918;0;-0.000101;-0.000776;0.000675;0
13.509.993/0001-73;2026-01-01;1;2026-01-30;5;;;;;;;;;;;;;5;;;28905168.09;24154904.46;106.95516384;225841.404872556;0.000828;0;-0.000876;-0.000876;0;0
13.551.286/0001-45;2026-01-01;2;2026-01-30;80526;80389;104;0;0;0;7;0;2;2;1;0;15;5;0;1;220527987.49;220346856;34134825;6.455192;0.000429;0;0;0;0;0
13.555.918/0001-49;2026-01-01;1;2026-01-30;83;29;8;;;;;;;31;;;;15;;;138576610.84;115642747.98;145817.99700065;793.062244432589;0.000216183032976038;0.000216183032976038;-0.001409;-0.001409;0;0
13.584.584/0001-31;2026-01-01;1;2026-01-31;11700;11596;12;;;1;2;;;57;;;;1;;;249767916.63;249230298.63;36006138.3997;6.92188359282862;0;0;-0.001278;-0.001278;0;0
13.598.226/0001-88;2026-01-01;2;2026-01-30;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;447746582.02;447618244.1;847864.1401;527.936284753364;1.30579574828371E-05;1.30579574828371E-05;-0.066766;-0.066766;0;0
13.703.596/0001-38;2026-01-01;1;2026-01-30;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;65440158.15;8389605.77;1064.3855;7882.1119023;0.003085;0;0.01764777;-0.01976029;0.03740806;0
13.726.079/0001-84;2026-01-01;1;2026-01-30;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1042572060.96;1036355310.98;301209.9213;3440.64135277;5.2E-05;0;0.00829787;0.00829787;0;0
13.842.683/0001-76;2026-01-01;1;2026-01-30;9;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;17260660.5;16767656.82;26068.6439189;643.211701850103;0.000417;0;-0.01764;-0.01764;0;0
13.920.018/0001-53;2026-01-01;1;2026-01-30;25;;15;10;;;;;;;;;;;;;84619640.04;81827478.38;40501.13111132;2020.37513853852;0.00117120314468134;0;0.00464;0.00464;0;0
13.920.018/0001-53;2026-02-01;1;2026-02-27;25;15;1;0;0;5;0;0;0;0;0;0;0;4;0;0;84150083.37;81652420.83;40501.13111128;2016.05285061431;0.000545462823358645;0;-0.0021;-0.0021;0;0
13.974.819/0001-00;2026-01-01;1;2026-01-31;3018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;70525085.96;70257077.08;2481283.99;28.3148069157533;0.000779;0;-0.011779;-0.011779;0;0
14.056.001/0001-62;2026-01-01;1;2026-01-30;492;;;;;;;;;;;;;;;;10465588.4;8454733.38;3231246.99824986;2.61655434715431;0.001693;0.000436;-0.001482;-0.001482;0;0
14.074.706/0001-02;2026-01-01;1;2026-01-30;18;0;7;2;0;2;1;0;0;0;0;0;1;5;0;0;737026385.36;736080613;43785754.8497037;16.8109609055873;0.00017;8E-05;0.0099;0.0099;0;0
14.080.689/0001-16;2026-01-01;1;2026-01-30;790;;;;;;;;;;;;;;;;13954461.16;13879539.04;954304;14.5441484474549;0.00125;0.000234;0.007015;0.007015;0;0
14.088.246/0001-71;2026-01-01;1;2026-01-30;9;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;94467215.38;94424369.58;230.69976;409295.482492049;0.000132;0;-0.009412;-0.009412;0;0
14.149.745/0001-21;2026-01-01;1;2026-01-30;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;674838048.55;673984609.91;1309737661.02923;0.514595120812486;0.000309317448699368;0;-0.026719;-0.026719;0;0
14.217.108/0001-45;2026-01-01;1;2026-01-30;14875;14848;24;;;;1;;;;;;1;1;;;407155179.49;403833488.36;685000;589.537939211679;0.000135;0;0.002854;-0.002392;0.005246;0
14.376.247/0001-11;2026-01-01;1;2026-01-30;1229;1211;3;0;0;0;2;3;0;0;0;0;2;8;0;0;113357239.89;113081780.08;998405;113.262434;0.000554;0;0;0;0;0
14.410.722/0001-29;2026-01-01;1;2026-01-30;60159;;;;;;;;;;;;;;;;1696324755.31;1661003760.44;15919690;104.336438739699;0.000225;4.1E-05;0.011051;0.000979;0.010072;0
14.413.342/0001-48;2026-01-01;1;2026-01-31;3;;;;;;;;;;;;;;;;364790807.8;342631852.55;25944;13206.5931448504;0.000702990828807577;;0.003609;-0.051682;0.055291;
14.423.780/0001-97;2026-01-01;1;2026-01-30;5599;;;;;;;;;;;;;;;;11788008.77;11735257.45;18547161.2;0.632725263098484;0.0019081;0.00017;0.000115;0.000115;0;0
14.609.653/0001-87;2026-01-01;1;2026-01-30;24;;;;;;;;;;;;;;;;61296442.47;59170882.06;71134.9855;831.811262;0.000549;0;-0.00055982;-0.00055982;0;0
14.631.148/0001-39;2026-01-01;1;2026-01-30;33;;;;;;;;33;;;;;;;;63864219.37;63397094.67;928908.19633869;68.249042176483;0.000198747278019388;8.51774048654523E-05;0.002555;0.002555;0;0
14.721.889/0001-00;2026-01-01;1;2026-01-31;125;;;;;;;;;;;;;;;;273627503.07;271231635.8;8071897;33.601969375972;0.000119783704080732;;0.010729;-1.1E-05;0.01074;
14.788.492/0001-36;2026-01-01;2;2026-01-30;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1087713089;850673995.65;4113277;206.811745;0.000418;0;0.0165;0.008246;0.008254;0
14.793.782/0001-78;2026-01-01;1;2026-01-30;1055;1040;7;;;;;1;;;;;1;6;;;61578019.87;61037190.96;742000;82.2603651752022;0.00176686751640774;0;0.002044;-0.000992;0.003036;0
15.006.267/0001-63;2026-01-01;1;2026-01-30;2453;2438;4;0;0;0;0;0;0;0;0;0;2;9;0;0;151140209.65;150876536.22;9900000;15.240054;0.001043;0;0.01152;0.006715;0.004805;0
15.006.286/0001-90;2026-01-01;1;2026-01-31;6892;;;;;;;;;;;;;;;;224506266.96;223034610.02;2676000;83.3462668236173;0.000294;0;0.005472;-0.000285;0.005757;0
15.098.422/0001-19;2026-01-01;1;2026-01-30;125;123;2;0;0;0;0;0;0;0;0;0;0;0;0;0;182669519.29;165969364.13;1386242;119.726111;0.000242;0;0.005263;0.006683;-0.00142;0
15.333.306/0001-37;2026-01-01;1;0001-01-01;3750;3727;4;0;0;0;8;0;0;0;0;0;10;1;0;0;173144312.97;172041415.17;3812055;45.130885;0.000243;0;0;0;0;0
15.348.117/0001-38;2026-01-01;1;2026-01-30;3;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;120048985.1;84819989.04;1000.5181519;84776.0621623161;0.000430188926136178;2.53178528352236E-05;-0.016435;-0.016435;0;0
15.447.108/0001-02;2026-01-01;1;2026-01-30;7723;7662;37;1;0;0;8;0;0;0;0;1;6;8;0;0;2806779295.38;1985504216.85;21841231;90.906241;3.8E-05;0;0.009651;0.003382;0.006269;0
15.447.110/0001-73;2026-01-01;1;2026-01-30;3;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;1053400210.5;1036585808.15;449006092;2.308623;0.000293;0;0.004153;-0.000665;0.004818;0
15.461.076/0001-91;2026-01-01;1;2026-01-30;11;;;;;;;;;11;;;;;;;112439203.93;112414203.93;1841677;61.0390442678059;0.000222391825285418;4.44783650570837E-05;-0.000125;-0.000125;0;0
15.463.207/0001-70;2026-01-01;1;2026-01-30;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;857651082;837409663.14;10933;76594.6824421476;0.000125;5.01E-05;0.008665;0.001993;0.006672;0
15.489.509/0001-17;2026-01-01;1;2026-01-30;103;103;0;0;0;0;0;0;0;0;0;0;0;0;0;0;837370202.23;833052436.88;4876129.3194;170.842974480936;7.49795657929244E-05;8.33106019831465E-06;0.000262;0.000262;0;0
15.538.445/0001-05;2026-01-01;1;2026-01-30;17537;;;;;;;;;;;;;;;;98360604.1;97411115.51;1798000;54.1774835984427;0.000339969210152411;0;0.008844;0.000534;0.00831;0
15.570.431/0001-60;2026-01-01;1;2026-01-30;5506;;;;;;;;;;;;;;;;49331585.8;48728898.7;700000;69.6127124285714;0.000558;0;0.007204;-0.002823;0.010027;0
15.576.907/0001-70;2026-01-01;1;2026-01-31;91071;;;;;;;;;;;;;;;;1916461169.19;1674994889.34;156143050;10.7273099208706;0.000504;1.9E-05;0.00709;-0.001289;0.008379;0
15.798.220/0001-80;2026-01-01;1;2026-01-30;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;125001822.25;124421994.15;19064.61698944;6526.33064797043;0.00203495870428468;0;-0.000388;-0.000388;0;0
