CNPJ_Fundo_Classe;Data_Referencia;Versao;Data_Informacao_Numero_Cotistas;Total_Numero_Cotistas;Numero_Cotistas_Pessoa_Fisica;Numero_Cotistas_Pessoa_Juridica_Nao_Financeira;Numero_Cotistas_Banco_Comercial;Numero_Cotistas_Corretora_Distribuidora;Numero_Cotistas_Outras_Pessoas_Juridicas_Financeira;Numero_Cotistas_Investidores_Nao_Residentes;Numero_Cotistas_Entidade_Aberta_Previdencia_Complementar;Numero_Cotistas_Entidade_Fechada_Previdência_Complementar;Numero_Cotistas_Regime_Proprio_Previdencia_Servidores_Publicos;Numero_Cotistas_Sociedade_Seguradora_Resseguradora;Numero_Cotistas_Sociedade_Capitalizacao_Arrendamento_Mercantil;Numero_Cotistas_FII;Numero_Cotistas_Outros_Fundos;Numero_Cotistas_Distribuidores_Fundo;Numero_Cotistas_Outros_Tipos;Valor_Ativo;Patrimonio_Liquido;Cotas_Emitidas;Valor_Patrimonial_Cotas;Percentual_Despesas_Taxa_Administracao;Percentual_Despesas_Agente_Custodiante;Percentual_Rentabilidade_Efetiva_Mes;Percentual_Rentabilidade_Patrimonial_Mes;Percentual_Dividend_Yield_Mes;Percentual_Amortizacao_Cotas_Mes
48.373.428/0001-06;2026-01-01;1;2026-01-30;1;;1;;;;;;;;;;;;;;55258020.11;55167378.75;134733.9998;409.454026688815;0.0001;0;0.00401;0.00401;0;0
48.389.780/0001-30;2026-01-01;1;2026-01-30;108;107;1;;;;;;;;;;;;;;236828365.84;236326646.1;6127180;38.5702143726804;0.0001;0;0.008976;0.004567;0.004409;0
48.904.259/0001-93;2026-01-01;1;2026-01-30;3;;;;;;;;;;;;;3;;;17310337.9;17297146.47;15592;1109.36034312468;0.000289;0;-0.000888;-0.000888;0;0
48.916.699/0001-60;2026-01-01;1;2026-01-30;119;101;3;0;0;0;1;1;0;0;0;0;4;9;0;0;676487566.34;509497571.74;4772405;106.759081;0.000808;0;0.001558;-1.1E-05;0.001569;0
48.961.539/0001-33;2026-01-01;1;2026-01-30;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;24871127.08;24607035.13;236898;103.871857;0.000386;0;0.018017;0.010127;0.00789;0
48.964.604/0001-84;2026-01-01;1;2026-01-30;1;;;;;;;;;;;;;1;;;1406963.35;1389246.47;616.82417713;2252.25683672773;0.0004;0;0.005796;0.005796;0;0
48.969.543/0001-48;2026-01-01;1;2026-01-30;1;;1;;;;;;;;;;;;;;154029309.45;150461641.25;1270360;118.440159679146;0.000273363760080611;0;0.003629;0.003629;0;0
48.978.731/0001-32;2026-01-01;1;2026-01-30;3;;;;;;;;;;;;;3;;;27505832.34;27487234.45;15660;1755.25124201788;0.000182;0;-0.001485;-0.001485;0;0
48.978.797/0001-22;2026-01-01;1;2026-01-30;4;;1;;;;;;;;;;;3;;;18885107.05;18859264.84;21237;888.038086358714;0.000265;0;-0.000869;-0.000869;0;0
48.978.859/0001-04;2026-01-01;1;2026-01-30;10486;10386;56;0;0;0;9;0;1;0;0;1;10;23;0;0;1506847007.07;1278987378.8;11610812;110.154861;6.5E-05;0;0.006016;0.000174;0.005842;0
48.984.698/0001-53;2026-01-01;1;2026-01-30;1;;;;;;;;;;;;;1;;;14516440.24;14336440.24;2207.37673587;6494.78632579207;0.001256;0;-0.001254;-0.001254;0;0
49.005.348/0001-60;2026-01-01;1;2026-01-30;10063;10008;22;0;0;0;7;1;0;0;0;1;9;15;0;0;448317942.94;426871489.6;4346763;98.204455;0.000818;0;0;0;0;0
49.005.570/0001-63;2026-01-01;1;2026-01-30;5;;;;;;;;;;;;;;;;79180446.7;79158089.37;21320046.4175265;3.71284789065594;0.000139;0;0.016833;0.016833;0;0
49.112.611/0001-10;2026-01-01;1;2026-01-30;2;;;1;;;;;;;;;;1;;;99471438.38;99392245.67;531606.79177517;186.965718286074;0.0001;0;0.00108;0.00108;0;0
49.152.919/0001-90;2026-01-01;1;2026-01-30;1;;;;;;1;;;;;;;;;;524257324.67;307121725.7;194814062.988523;1.57648642499743;9.71295662396052E-05;1.57182953729411E-05;0.07244;0.07244;0;0
49.184.940/0001-77;2026-01-01;2;2026-01-30;149;135;1;0;0;0;0;0;0;0;0;0;6;7;0;0;163797894.78;129030638.73;1416379;91.098949;0.000636;0;-0.002666;-0.004378;0.001712;0
49.318.661/0001-59;2026-01-01;1;2026-01-30;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;239306555.84;4592033.27;1000;4592.03327;0.005681;8E-06;-0.010414;-0.010414;0;0
49.592.781/0001-40;2026-01-01;1;2026-01-30;105;;;;;;;;;;;;;;;;626749050.95;346922775.8;30796704;11.2649319810328;0.000158;0;0.006467;0.006467;0;0
49.640.601/0001-58;2026-01-01;1;2026-01-30;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;23015759.03;22386183.51;23028.75904;972.096823416152;0.026813;0;-0.001206;-0.001206;0;
49.649.500/0001-48;2026-01-01;1;2026-01-30;110;103;5;0;0;0;2;0;0;0;0;0;0;0;0;0;28785496.47;28595460.4;51735;552.72949454;0.001154;0;0.00024361;0.00024361;0;0
49.893.516/0001-00;2026-01-01;1;2026-01-30;6;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;205848268.22;59079991.38;565208.40948256;104.527799637813;0.000111317551786684;0.000111317551786684;0.014411;0.014411;0;0
49.916.958/0001-16;2026-01-01;1;2026-01-30;3640;0;0;;;;;;;;;;;;3640;;159729838.08;157939330.79;16169323;9.7678382;0.000996;0;0.00243926;0.00243926;0;0
49.996.755/0001-87;2026-01-01;1;2026-01-30;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;38407568.98;38388568.98;35108.70904295;1093.42012356642;0.000495;0;0.010033;0.010033;0;
50.027.615/0001-80;2026-01-01;1;2026-01-30;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;18074881.28;17662667.66;917.53508465;19250.1278212566;0.0229441762592729;0;-0.001828;-0.001828;0;0
50.041.467/0001-58;2026-01-01;1;2026-01-30;15;0;1;1;;1;;;;;;;;12;;;25985099.77;25114133;31986989.8806;0.785136;0.034065;0;-0.0020667;-0.0020667;0;0
50.117.874/0001-00;2026-01-01;2;2026-01-30;1;;;;;;;;;;;;1;;;;85672675.4;81650766.7;1000000;81.6507667;0.000172;0;-0.00055;-0.00055;0;0
50.135.849/0001-40;2026-01-01;1;2026-01-30;197;0;0;;;;;;;;;;;;;;89761487.65;89730578.08;975907;91.94582894;0.000275;0;0.02302464;0.01376309;0.00926155;0
50.143.549/0001-03;2026-01-01;1;2026-01-30;2459;;;;;;;;;;;;;;;;89187614.73;87097114.97;8969244;9.71064171852165;0.000725;0;0.013446;0.013446;0;0
50.180.894/0001-17;2026-01-01;1;2026-01-30;11250;;;;;;;;;;;;;;;;485600607.43;425161362.3;46022047;9.238211;0.001667;0;0.00347333;-0.0083345;0.01180783;0
50.252.286/0001-70;2026-01-01;1;2026-01-30;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;7890058.13;-807416.23;227.06725;-3555.84625259697;-0.828986333356217;0;-0.034624;-0.034624;0;0
