CNPJ_Fundo_Classe;Data_Referencia;Versao;Total_Necessidades_Liquidez;Disponibilidades;Titulos_Publicos;Titulos_Privados;Fundos_Renda_Fixa;Total_Investido;Direitos_Bens_Imoveis;Terrenos;Imoveis_Renda_Acabados;Imoveis_Renda_Construcao;Imoveis_Venda_Acabados;Imoveis_Venda_Construcao;Outros_Direitos_Reais;Acoes;Debentures;Bonus_Subscricao;Certificados_Deposito_Valores_Mobiliarios;Cedulas_Debentures;Fundo_Acoes;FIP;FII;FDIC;Outras_Cotas_FI;Notas_Promissorias;Acoes_Sociedades_Atividades_FII;Cotas_Sociedades_Atividades_FII;CEPAC;CRI;CRI_CRA;Letras_Hipotecarias;LCI;LCI_LCA;LIG;Outros_Valores_Mobliarios;Valores_Receber;Contas_Receber_Aluguel;Contas_Receber_Venda_Imoveis;Outros_Valores_Receber;Rendimentos_Distribuir;Taxa_Administracao_Pagar;Taxa_Performance_Pagar;Obrigacoes_Aquisicao_Imoveis;Adiantamento_Venda_Imoveis;Adiantamento_Alugueis;Obrigacoes_Securitizacao_Recebiveis;Instrumentos_Financeiros_Derivativos;Provisoes_Contigencias;Outros_Valores_Pagar;Total_Passivo
49.005.348/0001-60;2026-01-01;1;41436474.29;0;0;41461321.01;-24846.72;406794950.71;0;0;0;0;0;0;0;0;0;0;0;;0;0;56499619.65;0;0;0;0;0;0;;350295331.06;0;;0;0;0;86517.94;0;0;86517.94;0;349051.05;0;0;0;0;0;0;0;21097402.29;21446453.34
49.005.570/0001-63;2026-01-01;1;16374855.4;4.6;6641423.58;0;9733427.22;62797406.55;0;0;0;0;0;0;0;0;0;0;0;;0;0;7961046.46;0;0;0;0;0;0;;54836360.09;0;;0;0;0;8184.75;0;0;8184.75;0;11000;0;0;0;0;0;4599.05;0;6758.28;22357.33
49.112.611/0001-10;2026-01-01;1;246906.67;0;0;0;246906.67;99210147.13;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;99210147.13;0;0;;0;0;;0;0;0;14384.58;0;0;14384.58;0;6556.32;0;0;0;0;0;0;0;72636.39;79192.71
49.152.919/0001-90;2026-01-01;1;48517.04;15027.67;0;0;33489.37;522864970.73;517000000;0;0;0;517000000;0;0;0;0;0;0;;0;0;0;0;5864970.73;0;0;0;0;;0;0;;0;0;0;1343836.9;202116.42;0;1141720.48;0;29830.6;0;0;0;0;216465340.17;0;0;640428.2;217135598.97
49.184.940/0001-77;2026-01-01;2;1232575.69;0;0;0;1232575.69;161291576.6;124441937.77;0;124441937.77;0;0;0;0;0;0;0;0;;0;0;29191638.83;0;0;0;7658000;0;0;;0;0;;0;0;0;1273742.49;52304.5;500000;721437.99;0.11;82038.48;0;16000027.76;0;0;18676887.42;0;0;8302.28;34767256.05
49.318.661/0001-59;2026-01-01;1;1177403.72;0;0;0;1177403.72;238116271.95;147969318.76;0;0;0;0;0;147969318.76;0;0;0;0;;0;0;0;0;0;0;0;0;0;;90146953.19;0;;0;0;0;12880.17;0;0;12880.17;0;26086.98;0;0;0;0;86195665.91;0;0;148492769.68;234714522.57
49.592.781/0001-40;2026-01-01;1;376864.21;0;0;0;376864.21;616826185.08;616484142;616484142;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;342043.08;0;0;;0;0;;0;0;0;9546001.66;8618802.21;855562.75;71636.7;329319.08;54856.6;0;0;0;0;278000100;0;0;1441999.47;279826275.15
49.640.601/0001-58;2026-01-01;1;0;0;0;;0;23015759.03;0;0;0;0;0;0;;0;;;;;;;;;;;;;23015759.03;;;;;;;;0;;;0;0;600246.9;0;0;0;0;0;0;0;29328.62;629575.52
49.649.500/0001-48;2026-01-01;1;8371842.97;1049.62;8370793.35;0;0;18839068.45;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;18839068.45;0;0;;0;0;;0;0;0;1574585.05;0;0;1574585.05;0;32994.24;0;0;0;0;0;0;0;157041.83;190036.07
49.893.516/0001-00;2026-01-01;1;3811746.26;0;0;0;3811746.26;51349800.38;51349800.38;51349800.38;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;150686721.58;0;0;150686721.58;0;6576.64;0;0;0;0;0;0;0;146761700.2;146768276.84
